n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
23,1002,1.5,-0.060302734375,11321
23,1002,2.0,-0.034952799479166664,11322
23,1003,1.0,-0.1065673828125,11330
23,1003,1.5,-0.055623372395833336,11331
23,1003,2.0,-0.0301513671875,11332
23,1004,1.0,-0.10201009114583333,11340
23,1004,1.5,-0.053181966145833336,11341
23,1004,2.0,-0.0277099609375,11342
23,1005,1.0,-0.096923828125,11350
23,1005,1.5,-0.059895833333333336,11351
23,1005,2.0,-0.0294189453125,11352
23,1006,1.0,-0.11140950520833333,11360
23,1006,1.5,-0.054768880208333336,11361
23,1006,2.0,-0.033284505208333336,11362
23,1007,1.0,-0.11808268229166667,11370
23,1007,1.5,-0.0592041015625,11371
23,1007,2.0,-0.030436197916666668,11372
24,1000,1.0,-0.039306640625,11400
24,1000,1.5,-0.022664388020833332,11401
24,1000,2.0,-0.008097330729166666,11402
24,1001,1.0,-0.046427408854166664,11410
24,1001,1.5,-0.021240234375,11411
24,1001,2.0,-0.004964192708333333,11412
24,1002,1.0,-0.0399169921875,11420
24,1002,1.5,-0.020467122395833332,11421
24,1002,2.0,-0.012288411458333334,11422
24,1003,1.0,-0.040934244791666664,11430
24,1003,1.5,-0.018636067708333332,11431
24,1003,2.0,-0.012369791666666666,11432
24,1004,1.0,-0.0421142578125,11440
24,1004,1.5,-0.01171875,11441
24,1004,2.0,-0.008504231770833334,11442
24,1005,1.0,-0.044718424479166664,11450
24,1005,1.5,-0.027506510416666668,11451
24,1005,2.0,-0.011433919270833334,11452
24,1006,1.0,-0.0369873046875,11460
24,1006,1.5,-0.028401692708333332,11461
24,1006,2.0,-0.009114583333333334,11462
24,1007,1.0,-0.04248046875,11470
24,1007,1.5,-0.0252685546875,11471
24,1007,2.0,-0.009114583333333334,11472
25,1000,1.0,0.009073893229166666,11500
25,1000,1.5,0.0106201171875,11501
25,1000,2.0,0.007527669270833333,11502
25,1001,1.0,0.009358723958333334,11510
25,1001,1.5,0.0035400390625,11511
25,1001,2.0,0.0017496744791666667,11512
25,1002,1.0,0.0106201171875,11520
25,1002,1.5,0.0021158854166666665,11521
25,1002,2.0,0.0006917317708333334,11522
25,1003,1.0,0.015177408854166666,11530
25,1003,1.5,0.0018310546875,11531
25,1003,2.0,0.011067708333333334,11532
25,1004,1.0,0.0126953125,11540
25,1004,1.5,0.009562174479166666,11541
25,1004,2.0,0.00244140625,11542
25,1005,1.0,0.015055338541666666,11550
25,1005,1.5,0.00390625,11551
25,1005,2.0,0.005818684895833333,11552
25,1006,1.0,0.013427734375,11560
25,1006,1.5,0.0011393229166666667,11561
25,1006,2.0,0.0011393229166666667,11562
25,1007,1.0,0.013753255208333334,11570
25,1007,1.5,0.0050048828125,11571
25,1007,2.0,0.0013427734375,11572
26,1000,1.0,0.048665364583333336,11600
26,1000,1.5,0.03173828125,11601
26,1000,2.0,0.020467122395833332,11602
26,1001,1.0,0.0670166015625,11610
26,1001,1.5,0.033447265625,11611
26,1001,2.0,0.018229166666666668,11612
26,1002,1.0,0.058797200520833336,11620
26,1002,1.5,0.027180989583333332,11621
26,1002,2.0,0.012613932291666666,11622
26,1003,1.0,0.054402669270833336,11630
26,1003,1.5,0.032999674479166664,11631
26,1003,2.0,0.017903645833333332,11632
26,1004,1.0,0.06571451822916667,11640
26,1004,1.5,0.0411376953125,11641
26,1004,2.0,0.012939453125,11642
26,1005,1.0,0.06612141927083333,11650
26,1005,1.5,0.023763020833333332,11651
26,1005,2.0,0.017374674479166668,11652
26,1006,1.0,0.0584716796875,11660
26,1006,1.5,0.027058919270833332,11661
26,1006,2.0,0.014485677083333334,11662
26,1007,1.0,0.057820638020833336,11670
26,1007,1.5,0.031412760416666664,11671
26,1007,2.0,0.017252604166666668,11672
27,1000,1.0,0.08939615885416667,11700
27,1000,1.5,0.0426025390625,11701
27,1000,2.0,0.022013346354166668,11702
27,1001,1.0,0.09940592447916667,11710
27,1001,1.5,0.048177083333333336,11711
27,1001,2.0,0.018391927083333332,11712
27,1002,1.0,0.09297688802083333,11720
27,1002,1.5,0.0384521484375,11721
27,1002,2.0,0.028523763020833332,11722
27,1003,1.0,0.0931396484375,11730
27,1003,1.5,0.044962565104166664,11731
27,1003,2.0,0.024861653645833332,11732
27,1004,1.0,0.09041341145833333,11740
27,1004,1.5,0.042561848958333336,11741
